sample	total_reads	scaling_factor
La100	661114	0.15341227080352254
La101	233434	0.43448255181336054
La102	184162	0.5507270772472063
La103	614178	0.16513616573696877
La104	185885	0.5456222933534174
La105	646366	0.15691264701423033
La106	6813210	0.014886228371061511
La107	501081	0.2024083930542168
La108	559528	0.18126528073662088
La109	541562	0.18727864953597187
La110	4896117	0.02071498699888095
La111	765063	0.13256816758881296
La112	2094629	0.048420507879915725
La113	223736	0.4533155147137698
La114	346571	0.29264710549930606
La115	133638	0.7589383259252608
La116	160250	0.6329048361934477
La117	470211	0.21569678293361916
La118	419617	0.2417037441285744
La119	176381	0.5750222529637546
La120	328796	0.3084678645725617
La121	291390	0.3480661656199595
La122	391313	0.25918638021225976
La123	239890	0.42278961190545666
La124	409293	0.2478004754540146
La125	10955021	0.009258129217643673
La34	324474	0.31257666253690586
La35	159603	0.6354705112059297
La36	221949	0.4569653388841581
La37	227938	0.4449587168440541
La38	216127	0.46927500960083657
La39	898885	0.1128320085439183
La40	522874	0.19397216155326139
La41	514061	0.19729759697779056
La42	354913	0.28576862498696864
La43	677354	0.14973411244341955
La44	349971	0.2898040123324504
La46	534667	0.1896937720113641
La47	377399	0.2687421005355075
La48	371460	0.2730388197921714
La49	236230	0.42934004995131864
La51	256771	0.39499398296536603
La52	349893	0.2898686169771902
La53	101423	1.0
La55	333932	0.3037235125714217
La56	392506	0.25839859772844237
La57	343985	0.2948471590330974
La58	345261	0.29375747622812887
La59	395097	0.2567040498915456
La60	186514	0.5437822361860236
La61	155786	0.6510405299577626
La62	121055	0.8378257816694891
La63	152893	0.6633593428083693
La64	133949	0.7571762387177209
La65	1496856	0.0677573527446862
La66	140181	0.7235145989827437
La67	308400	0.3288683527885862
La69	145903	0.6951399217288199
La70	3523629	0.028783677282710522
La74	201781	0.5026389997076038
La75	677270	0.1497526835678533
La76	1236174	0.08204589321568
La78	147457	0.6878140746115817
La79	160473	0.6320253251325768
La80	472981	0.2144335607561403
La81	133960	0.7571140638996715
La82	170397	0.5952158782138183
La83	335448	0.302350885979347
La84	197217	0.5142710821075263
La85	831485	0.12197814753122425
La86	310310	0.32684412361831716
La87	119317	0.8500297526756455
La88	118798	0.8537433290122729
La90	188153	0.5390453513895607
La91	135836	0.746657734326688
La92	197359	0.5139010635440998
La93	137465	0.7378096242679955
La94	205402	0.4937780547414339
La95	152714	0.6641368833243841
La96	9752962	0.01039919975080391
La97	786820	0.12890241732543656
La98	14146947	0.00716925001556873
La99	977899	0.10371520985296027
Lasse20	181967	0.5573702924156578
Lasse25	128075	0.7919031817294554
Lasse9	420844	0.24099904002433206
