# Pathway	La100_cat_Abundance	La101_cat_Abundance	La102_cat_Abundance	La103_cat_Abundance	La104_cat_Abundance	La105_cat_Abundance	La106_cat_Abundance	La107_cat_Abundance	La108_cat_Abundance	La109_cat_Abundance	La110_cat_Abundance	La111_cat_Abundance	La112_cat_Abundance	La113_cat_Abundance	La114_cat_Abundance	La115_cat_Abundance	La116_cat_Abundance	La117_cat_Abundance	La118_cat_Abundance	La119_cat_Abundance	La120_cat_Abundance	La121_cat_Abundance	La122_cat_Abundance	La123_cat_Abundance	La124_cat_Abundance	La34_cat_Abundance	La35_cat_Abundance	La36_cat_Abundance	La37_cat_Abundance	La38_cat_Abundance	La39_cat_Abundance	La40_cat_Abundance	La41_cat_Abundance	La42_cat_Abundance	La43_cat_Abundance	La44_cat_Abundance	La46_cat_Abundance	La47_cat_Abundance	La48_cat_Abundance	La49_cat_Abundance	La51_cat_Abundance	La52_cat_Abundance	La53_cat_Abundance	La55_cat_Abundance	La56_cat_Abundance	La57_cat_Abundance	La58_cat_Abundance	La59_cat_Abundance	La60_cat_Abundance	La61_cat_Abundance	La62_cat_Abundance	La63_cat_Abundance	La64_cat_Abundance	La65_cat_Abundance	La66_cat_Abundance	La67_cat_Abundance	La69_cat_Abundance	La70_cat_Abundance	La74_cat_Abundance	La75_cat_Abundance	La76_cat_Abundance	La78_cat_Abundance	La79_cat_Abundance	La80_cat_Abundance	La81_cat_Abundance	La82_cat_Abundance	La83_cat_Abundance	La84_cat_Abundance	La85_cat_Abundance	La86_cat_Abundance	La87_cat_Abundance	La88_cat_Abundance	La90_cat_Abundance	La91_cat_Abundance	La92_cat_Abundance	La93_cat_Abundance	La94_cat_Abundance	La95_cat_Abundance	La96_cat_Abundance	La97_cat_Abundance	La99_cat_Abundance	Lasse20_cat_Abundance	Lasse25_cat_Abundance	Lasse9_cat_Abundance
UNMAPPED	317682.7321682713	104304.0924473611	122778.8279769234	217883.9469637855	85455.1650362060	222903.8182725828	1372453.0760984370	215845.4487220436	264222.2103146946	241384.7246451187	1644798.9654255691	413019.6807821069	825305.0081802135	93387.7895661629	167666.2711950769	89743.3989072188	75143.0167948434	137258.0643719891	110109.0295790435	106221.8294533779	163850.7662977510	163364.2956141772	172953.2986221819	111817.1898065342	177056.6122053829	96490.8189900388	66374.7856374624	115392.5862158714	106043.9143445616	106386.3188251852	266333.1389760166	189920.3495247933	246631.2385171082	165462.2193904195	230576.1636153456	130901.8582464634	127063.1553690598	184799.0663432326	183997.2612703172	72601.4730352055	129106.0749855980	144147.6267957901	63898.1124407175	120433.3075574999	139632.1149002247	78022.0091022659	150033.0691004304	113839.2859551168	62196.7496789709	50107.6211438299	60133.7940620608	81412.2883546109	71001.4983903446	481793.9887229218	78661.7899937738	106401.9367435864	76106.9806385431	888928.0440592981	116395.9630175795	243707.3797089341	362589.6096334123	78432.2703601906	81778.6546852517	163942.6123584970	78507.6581481245	102415.6374770908	165158.9449378196	86083.3367349349	392948.2757037206	180826.1337796589	56763.5611655011	56570.3078368825	130777.2237178943	78897.9782795455	94773.3978793455	69491.6058166700	120842.2375451430	73475.0484322889	2246369.1536192885	270311.2963466496	497693.9495657550	67152.5122713829	49245.9521090496	109267.8902435912
UNINTEGRATED	269103.1481076385	98874.5067803182	92951.0736833026	305546.2380947053	67527.1481677721	434776.4961202983	6858819.6647732211	482930.1084512880	420810.0984599743	223049.0701098490	3995601.1848136722	366903.9738178328	1129907.9707864767	73576.6711956604	148392.6679112376	73514.2087150037	65290.3280766958	316517.4600708511	261787.3891079754	66289.6975135493	129403.1933517191	158412.1244875036	263861.9348589508	101399.3241646371	235060.8593935635	127836.8847665682	54438.0900004756	87270.3115352761	103600.2267637342	78236.3908121026	405104.5010339005	295563.0460899651	394644.8792756562	157841.7645276487	308149.3863238311	165616.8483536062	238415.5165061616	178396.7069743717	146343.0146837401	93651.4350943023	125076.2221121355	150894.6448429564	59317.9271043130	170513.2483811522	195315.9286888951	562971.9872034799	166357.8814173062	126928.9451114055	76550.5875370797	61328.6950937969	42038.6078990126	50579.4044466506	49590.8218142427	1096672.8175348770	42436.9569285190	173854.3694171948	38675.4462789924	2547096.2408169522	108929.1404206234	307691.2258326865	803262.2855422550	77229.1760560801	72718.6262630610	377076.1193145289	40207.5540642204	74295.8486268024	177434.4861037296	68968.2969702544	435409.0394698327	126533.7656271831	32734.8751473109	60445.6300847945	63189.6247768953	53059.6956718950	62649.2190417104	40517.3167004668	75883.5185112778	48651.3615202352	5858393.3540583486	631315.2799619449	419209.5777306946	93398.9900789033	89661.1933198033	120339.7146856516
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	0	13830.2909579206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6416.0011270422	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3404.9823367414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinotignum.s__Actinotignum_timonense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22725.7952824071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	7213.4969264166	10158.5720600247	1946.1289972023	10008.1974068928	0	26606.2826230968	0	0	0	0	0	0	0	0	0	0	0	6664.3285657426	0	0	0	0	0	19328.5431454936	0	0	0	0	19875.1479255107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13877.9739524245	2591.7795178198	0	9605.7177952792	18405.8055595479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	1064.6062633555	0	2657.8563372845	0	5836.2427678250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.7987211766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992.4667722953	13879.1089105638	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	3372.4497533426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273.4121904722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847.0902919551	8044.9663953489	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0	0	0	10283.4130972929	5754.1083098621	1721.3339524042	5106.3033076861	910.5670282537	5693.1937249705	0	0	0	0	0	0	0	4541.9897784687	0	0	0	1885.4015942464	0	0	0	0	0	0	2477.7385169239	0	0	0	4165.8881335650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400.7595295701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11271.9942537828	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7843.5560293689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
