# Pathway	La100_cat_Abundance	La101_cat_Abundance	La102_cat_Abundance	La103_cat_Abundance	La104_cat_Abundance	La105_cat_Abundance	La106_cat_Abundance	La107_cat_Abundance	La108_cat_Abundance	La109_cat_Abundance	La110_cat_Abundance	La111_cat_Abundance	La112_cat_Abundance	La113_cat_Abundance	La114_cat_Abundance	La115_cat_Abundance	La116_cat_Abundance	La117_cat_Abundance	La118_cat_Abundance	La119_cat_Abundance	La120_cat_Abundance	La121_cat_Abundance	La122_cat_Abundance	La123_cat_Abundance	La124_cat_Abundance	La34_cat_Abundance	La35_cat_Abundance	La36_cat_Abundance	La37_cat_Abundance	La38_cat_Abundance	La39_cat_Abundance	La40_cat_Abundance	La41_cat_Abundance	La42_cat_Abundance	La43_cat_Abundance	La44_cat_Abundance	La46_cat_Abundance	La47_cat_Abundance	La48_cat_Abundance	La49_cat_Abundance	La51_cat_Abundance	La52_cat_Abundance	La53_cat_Abundance	La55_cat_Abundance	La56_cat_Abundance	La57_cat_Abundance	La58_cat_Abundance	La59_cat_Abundance	La60_cat_Abundance	La61_cat_Abundance	La62_cat_Abundance	La63_cat_Abundance	La64_cat_Abundance	La65_cat_Abundance	La66_cat_Abundance	La67_cat_Abundance	La69_cat_Abundance	La70_cat_Abundance	La74_cat_Abundance	La75_cat_Abundance	La76_cat_Abundance	La78_cat_Abundance	La79_cat_Abundance	La80_cat_Abundance	La81_cat_Abundance	La82_cat_Abundance	La83_cat_Abundance	La84_cat_Abundance	La85_cat_Abundance	La86_cat_Abundance	La87_cat_Abundance	La88_cat_Abundance	La90_cat_Abundance	La91_cat_Abundance	La92_cat_Abundance	La93_cat_Abundance	La94_cat_Abundance	La95_cat_Abundance	La96_cat_Abundance	La97_cat_Abundance	La99_cat_Abundance	Lasse20_cat_Abundance	Lasse25_cat_Abundance	Lasse9_cat_Abundance
UNMAPPED	317682.7321682713	104304.0924473611	122778.8279769234	217883.9469637855	85455.1650362060	222903.8182725828	1372453.0760984370	215845.4487220436	264222.2103146946	241384.7246451187	1644798.9654255691	413019.6807821069	825305.0081802135	93387.7895661629	167666.2711950769	89743.3989072188	75143.0167948434	137258.0643719891	110109.0295790435	106221.8294533779	163850.7662977510	163364.2956141772	172953.2986221819	111817.1898065342	177056.6122053829	96490.8189900388	66374.7856374624	115392.5862158714	106043.9143445616	106386.3188251852	266333.1389760166	189920.3495247933	246631.2385171082	165462.2193904195	230576.1636153456	130901.8582464634	127063.1553690598	184799.0663432326	183997.2612703172	72601.4730352055	129106.0749855980	144147.6267957901	63898.1124407175	120433.3075574999	139632.1149002247	78022.0091022659	150033.0691004304	113839.2859551168	62196.7496789709	50107.6211438299	60133.7940620608	81412.2883546109	71001.4983903446	481793.9887229218	78661.7899937738	106401.9367435864	76106.9806385431	888928.0440592981	116395.9630175795	243707.3797089341	362589.6096334123	78432.2703601906	81778.6546852517	163942.6123584970	78507.6581481245	102415.6374770908	165158.9449378196	86083.3367349349	392948.2757037206	180826.1337796589	56763.5611655011	56570.3078368825	130777.2237178943	78897.9782795455	94773.3978793455	69491.6058166700	120842.2375451430	73475.0484322889	2246369.1536192885	270311.2963466496	497693.9495657550	67152.5122713829	49245.9521090496	109267.8902435912
UNINTEGRATED	269103.1481076385	98874.5067803182	92951.0736833026	305546.2380947053	67527.1481677721	434776.4961202983	6858819.6647732211	482930.1084512880	420810.0984599743	223049.0701098490	3995601.1848136722	366903.9738178328	1129907.9707864767	73576.6711956604	148392.6679112376	73514.2087150037	65290.3280766958	316517.4600708511	261787.3891079754	66289.6975135493	129403.1933517191	158412.1244875036	263861.9348589508	101399.3241646371	235060.8593935635	127836.8847665682	54438.0900004756	87270.3115352761	103600.2267637342	78236.3908121026	405104.5010339005	295563.0460899651	394644.8792756562	157841.7645276487	308149.3863238311	165616.8483536062	238415.5165061616	178396.7069743717	146343.0146837401	93651.4350943023	125076.2221121355	150894.6448429564	59317.9271043130	170513.2483811522	195315.9286888951	562971.9872034799	166357.8814173062	126928.9451114055	76550.5875370797	61328.6950937969	42038.6078990126	50579.4044466506	49590.8218142427	1096672.8175348770	42436.9569285190	173854.3694171948	38675.4462789924	2547096.2408169522	108929.1404206234	307691.2258326865	803262.2855422550	77229.1760560801	72718.6262630610	377076.1193145289	40207.5540642204	74295.8486268024	177434.4861037296	68968.2969702544	435409.0394698327	126533.7656271831	32734.8751473109	60445.6300847945	63189.6247768953	53059.6956718950	62649.2190417104	40517.3167004668	75883.5185112778	48651.3615202352	5858393.3540583486	631315.2799619449	419209.5777306946	93398.9900789033	89661.1933198033	120339.7146856516
1CMET2-PWY: folate transformations III (E. coli)	34.3123608918	0	0	98.1855991207	0	75.1811520967	2335.7768007371	86.3625935126	76.4578000769	30.9684981301	1308.0695789711	81.1372306264	250.5829437085	0	41.3052684302	10.8571482471	0	117.3012418846	131.0813520982	0	20.7510863735	20.0784172078	43.8208968751	0	39.9925875976	64.9963129204	0	12.6989053874	0	0	175.8299746035	40.2276074037	54.5741925433	75.2069450897	113.8007203518	57.4970387466	180.2652411452	0	13.8324788709	44.6475037087	0	0	0	39.0072508239	54.6221152228	81.3953803500	32.5541743590	65.5308825071	0	17.1817124127	0	0	0	298.4526005515	0	53.0192955524	0	802.8571453582	37.5307702613	130.6088147581	326.6987037476	0	12.4029394327	121.2607254418	0	0	55.4405824738	25.4545195242	107.3799590275	0	0	0	0	0	0	0	16.3563572495	0	1201.8268520404	255.5316847081	54.1811434636	14.8479775743	47.3329378186	34.4818013811
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337.5111615082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	37.5319596507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6345593139	0	0	0	0	0	0	0	0	0	8.4696046827	0	0	0	0	0	0	0	0	0	0	0	0	14.7751376352	0	0	0	0	0	0	4.6099549901	0	0	0	0	0	0	0	0	7.9974199961	0	0	0	0	0	0	0	0	17.2198874645	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	32.0911777102	54.7003877356	0	322.7556085682	34.4110984290	76.5130045188	5530.3120227437	154.5076897136	190.9388549729	184.1478734263	3883.1015253042	148.0546006450	618.9637356202	0	90.4906974222	35.2892986491	0	496.6118424954	338.8804541502	30.3911343093	102.7434840299	150.6235804424	200.0565470062	23.3357559452	144.6475224004	0	52.5469342069	62.8789766173	56.1842307546	12.9270960892	284.0638826711	155.2211424540	322.1192769352	0	325.4580123289	94.8426583500	232.2457844999	134.9811927751	90.1481414887	117.9988797210	51.7478021408	79.3875016925	22.4515762244	149.5882197667	208.1380400782	187.8207628161	139.6636205550	70.1268505878	82.4874734485	65.1623208747	12.3353516679	0	0	817.6691923310	0	212.3497381906	0	2055.6154347576	38.4037381505	351.6168163289	840.6587636895	51.0320710699	46.3821918385	240.2088652483	0	40.6023455768	200.9333275415	54.2036421831	436.8917730905	68.8046696942	22.1564904318	44.6298938849	0	8.5147413376	41.0659173963	0	37.0936254593	0	4329.4672485654	512.7916716438	245.3740564623	38.4843406678	40.0797879839	74.1470263045
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	238.2508391328	82.9928018262	54.6008012402	660.3512765135	62.9508573314	196.8393787661	9080.2778763842	477.5249022502	493.4766552312	299.8773520035	7361.7810735788	216.2002111608	1111.6698802648	0	109.7991995573	49.3940547775	69.1009054039	1039.4149819565	906.8506437188	54.2283749209	159.5518794640	176.3786931360	439.3151071559	45.9962217908	299.1825349636	221.8033389137	82.1529876058	130.1276171733	131.8662133190	57.2621753039	1138.8728623123	282.8318737179	344.2777426990	198.7149679918	592.2481560572	241.0162369507	918.0280236179	196.1253115658	141.6629083741	258.5618145418	77.1149036812	232.0724701534	25.0197635328	297.6828285933	422.2927911247	390.0907507507	182.3815277194	456.3014815610	168.6115312870	138.4115006482	12.9817917339	0	43.7858313845	1514.1417993921	10.6784892597	429.9665499690	0	3754.0436874159	56.7062404037	523.7376507942	1757.4655730441	86.8370581648	79.2309249206	524.9019192934	12.4474393015	74.4612062899	423.4759345530	138.4294535121	762.7896468582	93.7625500468	19.9790916366	76.9327059884	26.6396422831	43.3804923719	89.1096295412	12.2080590948	55.7337712374	0	13000.0033372081	909.0688682924	402.8151095591	83.9920503881	108.8276035104	117.4495671414
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	22.8370979847	0	0	0	0	0	205.3735069897	0	0	0	80.0571435781	0	39.1175285555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2078781544	14.0159811689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.5489587177	0	0	0	0	0	0	81.4016041269	0	0	41.2781689495	0	0	0	0	47.2018738917	0	0	0	0	0	0	0	0	0	377.3597466129	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	24.8723743739	17.2799757411	0	51.9989731180	0	0	1068.4416978446	127.8812303929	86.2273295152	31.9268314235	703.0736225961	43.8085290161	92.9688163082	0	16.1710831379	20.4058677850	0	88.7830548442	64.9287762739	0	11.9309649408	21.8234125838	33.5185723962	0	16.2688101381	0	16.1530577215	0	9.5071903196	0	35.6336784201	43.9673471195	21.5830506267	54.4411559514	72.3595816285	21.2010487947	64.4625370432	56.5403051282	27.4118764804	14.1575348717	10.5841043014	9.0788169268	0	0	52.7787733459	0	29.2773444688	69.8367535745	12.4407754580	21.3756928083	8.2565406826	0	10.1486060607	210.9997791966	0	8.3070594508	0	470.2155378684	23.1999054264	32.7163262622	82.7898550429	9.4414392166	11.5640115046	32.4193046112	0	6.9782940660	32.3850156956	12.1668189426	68.8268182672	22.1571931651	0	0	0	0	0	0	16.4121715171	0	1785.8303376370	99.2649332433	59.2176052981	0	0	23.8471800984
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	30.3178138278	0	0	0	0	192.7322037555	1487.1655219536	75.9060974609	76.5810601157	0	827.6125336984	52.0507659325	182.6745660496	0	0	0	0	126.2252739994	122.7376798574	0	12.5445913495	0	0	0	30.9746279700	64.9525806858	0	20.8465705800	0	0	216.9252453440	64.3549873840	33.2760206240	32.6117081695	83.2217330884	24.4200243653	217.0073064881	58.7648223289	16.6527066175	0	14.7940704679	0	0	75.8009420873	69.6894796701	23.8450941513	0	69.7692151059	24.0903512538	0	0	0	0	252.9806851170	0	19.4517630501	0	573.0858235546	50.0957609665	66.9727682576	206.8922347561	0	18.2717121552	71.7423288892	6.0228454883	0	0	0	94.8944078265	18.7337806854	0	0	0	0	0	0	18.7976111669	0	2370.5038741909	68.2699763878	77.0244094195	0	0	40.1639900279
