# Pathway	La100_cat_Coverage	La101_cat_Coverage	La102_cat_Coverage	La103_cat_Coverage	La104_cat_Coverage	La105_cat_Coverage	La106_cat_Coverage	La107_cat_Coverage	La108_cat_Coverage	La109_cat_Coverage	La110_cat_Coverage	La111_cat_Coverage	La112_cat_Coverage	La113_cat_Coverage	La114_cat_Coverage	La115_cat_Coverage	La116_cat_Coverage	La117_cat_Coverage	La118_cat_Coverage	La119_cat_Coverage	La120_cat_Coverage	La121_cat_Coverage	La122_cat_Coverage	La123_cat_Coverage	La124_cat_Coverage	La34_cat_Coverage	La35_cat_Coverage	La36_cat_Coverage	La37_cat_Coverage	La38_cat_Coverage	La39_cat_Coverage	La40_cat_Coverage	La41_cat_Coverage	La42_cat_Coverage	La43_cat_Coverage	La44_cat_Coverage	La46_cat_Coverage	La47_cat_Coverage	La48_cat_Coverage	La49_cat_Coverage	La51_cat_Coverage	La52_cat_Coverage	La53_cat_Coverage	La55_cat_Coverage	La56_cat_Coverage	La57_cat_Coverage	La58_cat_Coverage	La59_cat_Coverage	La60_cat_Coverage	La61_cat_Coverage	La62_cat_Coverage	La63_cat_Coverage	La64_cat_Coverage	La65_cat_Coverage	La66_cat_Coverage	La67_cat_Coverage	La69_cat_Coverage	La70_cat_Coverage	La74_cat_Coverage	La75_cat_Coverage	La76_cat_Coverage	La78_cat_Coverage	La79_cat_Coverage	La80_cat_Coverage	La81_cat_Coverage	La82_cat_Coverage	La83_cat_Coverage	La84_cat_Coverage	La85_cat_Coverage	La86_cat_Coverage	La87_cat_Coverage	La88_cat_Coverage	La90_cat_Coverage	La91_cat_Coverage	La92_cat_Coverage	La93_cat_Coverage	La94_cat_Coverage	La95_cat_Coverage	La96_cat_Coverage	La97_cat_Coverage	La99_cat_Coverage	Lasse20_cat_Coverage	Lasse25_cat_Coverage	Lasse9_cat_Coverage
UNMAPPED	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinotignum.s__Actinotignum_timonense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
