Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg_39 pair1	decontaminated hg_39 pair2	decontaminated hg_39 orphan1	decontaminated hg_39 orphan2	final pair1	final pair2	final orphan1	final orphan2
La100	763042.0	763042.0	663610.0	663610.0	30607.0	17942.0	661114.0	661114.0	30170.0	17810.0	661114.0	661114.0	30170.0	17810.0
La101	368052.0	368052.0	237708.0	237708.0	22961.0	11146.0	233434.0	233434.0	22258.0	10962.0	233434.0	233434.0	22258.0	10962.0
La102	270831.0	270831.0	186467.0	186467.0	16565.0	8791.0	184162.0	184162.0	16130.0	8678.0	184162.0	184162.0	16130.0	8678.0
La103	716145.0	716145.0	616850.0	616850.0	24629.0	14873.0	614178.0	614178.0	24189.0	14735.0	614178.0	614178.0	24189.0	14735.0
La104	310754.0	310754.0	187675.0	187675.0	20695.0	8171.0	185885.0	185885.0	20216.0	8032.0	185885.0	185885.0	20216.0	8032.0
La105	847934.0	847934.0	649155.0	649155.0	40977.0	18304.0	646366.0	646366.0	40218.0	18127.0	646366.0	646366.0	40218.0	18127.0
La106	7416708.0	7416708.0	6817107.0	6817107.0	305609.0	104920.0	6813210.0	6813210.0	305067.0	104787.0	6813210.0	6813210.0	305067.0	104787.0
La107	642525.0	642525.0	503766.0	503766.0	29623.0	14882.0	501081.0	501081.0	28832.0	14529.0	501081.0	501081.0	28832.0	14529.0
La108	689435.0	689435.0	562581.0	562581.0	31324.0	14394.0	559528.0	559528.0	30732.0	14211.0	559528.0	559528.0	30732.0	14211.0
La109	738168.0	738168.0	544490.0	544490.0	37302.0	16473.0	541562.0	541562.0	36621.0	16277.0	541562.0	541562.0	36621.0	16277.0
La110	5345933.0	5345933.0	4899214.0	4899214.0	190380.0	89521.0	4896117.0	4896117.0	189834.0	89332.0	4896117.0	4896117.0	189834.0	89332.0
La111	927981.0	927981.0	767095.0	767095.0	39680.0	19788.0	765063.0	765063.0	39205.0	19655.0	765063.0	765063.0	39205.0	19655.0
La112	2457035.0	2457035.0	2098297.0	2098297.0	98503.0	47104.0	2094629.0	2094629.0	97756.0	46881.0	2094629.0	2094629.0	97756.0	46881.0
La113	366387.0	366387.0	225750.0	225750.0	21417.0	9110.0	223736.0	223736.0	20934.0	8957.0	223736.0	223736.0	20934.0	8957.0
La114	557215.0	557215.0	349478.0	349478.0	32911.0	14383.0	346571.0	346571.0	32135.0	14120.0	346571.0	346571.0	32135.0	14120.0
La115	242680.0	242680.0	135337.0	135337.0	16928.0	7467.0	133638.0	133638.0	16524.0	7329.0	133638.0	133638.0	16524.0	7329.0
La116	275606.0	275606.0	162224.0	162224.0	17620.0	7297.0	160250.0	160250.0	17128.0	7166.0	160250.0	160250.0	17128.0	7166.0
La117	639690.0	639690.0	471644.0	471644.0	30811.0	14134.0	470211.0	470211.0	30341.0	13996.0	470211.0	470211.0	30341.0	13996.0
La118	573035.0	573035.0	421760.0	421760.0	28850.0	11960.0	419617.0	419617.0	28396.0	11814.0	419617.0	419617.0	28396.0	11814.0
