feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HISDEG.PWY..L.histidine.degradation.I	type	CRC	1.69477782501903	0.55921740570075	58	25	0.00369030673445938	0.0704664573683699
PWY.7392..taxadiene.biosynthesis..engineered.	type	CRC	1.29575107905725	0.447831472746047	58	17	0.00542049672064384	0.0704664573683699
CITRULBIO.PWY..L.citrulline.biosynthesis	type	CRC	1.07231171355083	0.533257516048675	58	27	0.0491630035327865	0.426079363950817
ANAEROFRUCAT.PWY..homolactic.fermentation	type	CRC	0.680560627625932	0.652958480997974	58	51	0.301764207062854	0.435881632424122
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	type	CRC	0.672888098839207	0.577466960197134	58	43	0.248861010555849	0.435881632424122
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	type	CRC	0.634227614071246	0.598838019594591	58	51	0.29410251688411	0.435881632424122
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	type	CRC	0.742988740351107	0.520238967336349	58	32	0.158797100405993	0.435881632424122
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	type	CRC	0.816476650725256	0.626888846970376	58	54	0.198101764095283	0.435881632424122
GALACTUROCAT.PWY..D.galacturonate.degradation.I	type	CRC	-0.701005469389253	0.582187709732375	58	26	0.233620236023087	0.435881632424122
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	type	CRC	-0.316156234014371	0.255411000645626	58	12	0.220942625791491	0.435881632424122
GLUDEG.I.PWY..GABA.shunt	type	CRC	0.614337836198485	0.43358774357946	58	23	0.162060072361746	0.435881632424122
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	type	CRC	0.835258371509668	0.574631471114708	58	52	0.151651224224616	0.435881632424122
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	type	CRC	0.795423950604006	0.636722646894155	58	28	0.216771254706976	0.435881632424122
PWY.5695..inosine.5..phosphate.degradation	type	CRC	0.975576435666156	0.571529489190105	58	53	0.0933697998693093	0.435881632424122
PWY.7013...S..propane.1.2.diol.degradation	type	CRC	0.73991119394661	0.696076223961569	58	42	0.292356023106359	0.435881632424122
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	type	CRC	1.04731142937474	0.644348283528019	58	37	0.109696821794489	0.435881632424122
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	type	CRC	1.00182509958726	0.595803091023924	58	55	0.0982411287877239	0.435881632424122
PWY.8131..5..deoxyadenosine.degradation.II	type	CRC	0.398805298943719	0.344360758063444	58	7	0.251737251262514	0.435881632424122
GALACTITOLCAT.PWY..galactitol.degradation	type	CRC	0.294943867677259	0.304042779523049	58	15	0.336181178599684	0.447486215580811
PWY.5659..GDP.mannose.biosynthesis	type	CRC	0.515850783150775	0.540765348093283	58	53	0.344220165831393	0.447486215580811
PWY.5103..L.isoleucine.biosynthesis.III	type	CRC	0.540300194954718	0.630308256588764	58	51	0.394988035068707	0.489032805323161
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	type	CRC	0.327255532197145	0.414162714280853	58	12	0.432766676619592	0.511451526914064
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	type	CRC	0.27136372998202	0.648648748348774	58	48	0.67728956888732	0.733730366294596
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	type	CRC	0.130930763101694	0.307052709699365	58	13	0.671442849212367	0.733730366294596
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	type	CRC	0.206756393069659	0.643200213524478	58	55	0.749066510752857	0.779029171182971
PWY.7977..L.methionine.biosynthesis.IV	type	CRC	-0.0299077009987954	0.626921820701474	58	51	0.962120577411606	0.962120577411606
