feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La9	74.1470263045	23.8471800984	9.3757696561	19.6621166364	25.6965952352	0	9.2599539384	0	0	0	0	56.8846275742	85.8318411296	0	0	15.5134463389	35.690201377	0	6.0061738921	0	80.755996302	0	77.2831252704	0	30.7767250787
La20	38.4843406678	0	0	13.7753492548	0	0	25.826901632	0	0	0	0	18.2108889183	48.7103455592	0	28.9622606955	22.6704399078	0	13.6654085136	21.2251813763	0	117.7340962974	9.7258875489	38.9502190158	0	22.2089984548
La25	40.0797879839	0	14.4867397955	21.7384329585	0	0	39.8033304385	0	0	0	0	132.8637348299	58.2648736793	0	10.618105311	17.2039111466	18.3209648606	39.9088142241	17.2774577631	0	55.9296660401	0	39.909699562	0	25.5801398322
La34	0	0	8.7129158642	187.5363883472	0	0	93.3521340978	0	0	0	0	141.1767452419	0	0	7.3158236724	221.4103562305	46.5271873522	0	10.4748337288	0	42.0376310547	23.6238674661	33.0398823902	0	141.7455019653
La35	52.5469342069	16.1530577215	11.2777560965	22.7971960952	0	0	19.187571642	0	0	0	0	28.5161369112	62.5845701265	0	0	20.5294890833	0	0	19.7712627239	0	0	12.006731966	9.6862142544	0	13.6603641846
La36	62.8789766173	0	16.92956924	68.4788933787	0	0	15.0546232042	0	0	0	0	75.3276232858	71.9013734314	0	0	60.6174392459	43.2551657428	0	0	0	0	6.4461097156	64.3691203245	0	62.4612659674
La37	56.1842307546	9.5071903196	19.2122872205	27.5115608937	0	0	5.9482419709	0	0	0	0	29.6350424057	120.6588074997	12.2241002991	13.1706737572	25.4136305669	30.462093052	0	19.5659274044	0	0	0	22.737186581	0	11.4005035942
La38	12.9270960892	0	9.6909993394	29.2657996526	0	0	33.4488177285	0	0	0	0	48.8661132824	41.2786380116	0	0	28.4263734929	50.8979648208	0	58.5103980867	21.8091224243	0	13.1793976275	41.7975797546	0	46.2610111435
La39	284.0638826711	35.6336784201	165.0396781407	396.3069603831	51.8210290978	34.1540933752	285.4096588279	0	70.6260180944	0	0	1310.4881118748	379.9652261906	0	13.7238151696	342.0757271984	80.3303107417	250.053635572	128.616225718	0	607.9884051895	97.6313761613	259.3137126234	0	330.0727165053
La40	155.221142454	43.9673471195	47.3032787262	181.1131426788	0	86.7057448265	168.4473687545	0	116.0566723379	0	11.7746003208	298.4946697809	156.7031646263	9.0465280912	37.8881087449	209.6044357562	78.7220712594	100.9935726105	88.8569381128	0	45.4161750201	47.638342595	284.4390177514	17.5308405642	207.93752194
La41	322.1192769352	21.5830506267	105.7873036509	69.9637057684	0	67.3681272768	49.0275404606	0	57.6421941668	0	5.7719692395	129.7766369392	406.5696602767	43.5649750947	28.4773998641	68.2423930744	54.2091108684	134.3894069971	87.871346227	384.5598722497	17.229722246	61.7208221578	398.8957745076	29.7022726573	67.1317973743
La42	0	54.4411559514	17.2219132577	140.5016367493	0	39.6860394466	18.8828799912	0	0	0	9.4468612708	131.9060705602	0	0	62.6022201782	131.8788729186	75.604298431	0	25.5423222363	0	159.4171790202	28.1467503197	106.6855842125	0	75.9680548807
La43	325.4580123289	72.3595816285	57.499363481	256.0828789548	112.4278462983	42.3443017048	184.4757362459	8.9053720266	43.6218289095	0	7.245123751	1157.4902393445	402.9061719397	0	26.4290880139	268.2603017461	150.205553342	577.0211500232	195.6844092206	0	567.4248820377	84.518377945	133.7763744668	0	290.1821208599
La44	94.84265835	21.2010487947	25.9940919311	81.6740872427	28.7798427197	41.1615526133	138.7070777363	8.8399222269	16.9211591588	0	15.9114810038	203.9984916711	184.5536782753	0	0	87.2998421177	54.2155806902	16.1395458271	93.3216164787	0	97.4607510591	10.0207952349	79.2969957215	0	173.673373115
La46	232.2457844999	64.4625370432	48.0055001419	543.0624238644	32.5262034654	12.6590188568	122.9344446888	0	82.4195007638	0	0	350.3901513573	297.3344397311	0	0	509.168933938	64.5455408073	76.2434260674	59.6511012014	0	95.3642128597	19.0750137193	60.5208738655	0	261.9493673738
La47	134.9811927751	56.5403051282	74.3404882684	134.6305606311	62.9307965019	42.3609350821	78.3785186561	96.2325999817	41.543776056	73.9928115018	31.1925530654	133.0653886655	174.5568240427	26.5724777088	0	134.6305606311	117.1473471378	8.9613301312	79.4965030233	30.6259941885	32.9556893554	0	67.3972461354	0	79.0491870907
La48	90.1481414887	27.4118764804	19.134684866	30.6789155602	18.0168401242	13.176490697	53.9996509074	17.8772246471	0	39.8037564327	15.1994982416	46.9855099062	131.3663068555	0	0	34.3373964657	53.5734400906	23.5995564129	62.5599412823	68.230346135	46.2824554809	7.9950417516	60.0173313662	0	68.4979843962
La49	117.998879721	14.1575348717	11.8794213039	69.0083559516	17.5919506283	16.8415564903	55.5374568413	0	39.6662304246	28.8416229155	0	120.1453030399	180.592119186	0	0	61.3910509557	28.4682640559	23.5108613324	38.8577471068	0	0	23.6637825727	76.609975351	0	93.3152648313
La51	51.7478021408	10.5841043014	22.3757177622	17.1264727296	0	0	31.7030814405	17.7468056306	9.3028013482	12.4251323193	9.8930970332	38.5747527963	119.2880885023	0	0	13.6164013104	52.2516182074	0	43.9554075817	0	70.8103856509	0	139.6606347698	0	64.493613392
La52	79.3875016925	9.0788169268	42.3105778576	26.441429703	20.1926453186	0	56.6811246326	0	0	0	0	80.8487500163	137.0709234647	0	0	22.116688707	46.756322082	0	79.6668576044	0	39.7577853274	22.3259947211	93.0466280887	0	110.1469636563
La53	22.4515762244	0	6.3563411099	0	0	0	0	0	0	0	0	5.9577711498	25.7593923246	0	0	0	0	0	20.5602293946	0	8.835104324	0	37.658757401	0	13.7146976655
La55	149.5882197667	0	50.5179799828	134.7546480605	0	24.769676467	148.3845444034	0	14.0042995238	0	0	169.0724178559	201.7355154319	0	0	131.3311267886	88.4361908114	8.2561269776	69.1148854084	0	115.9342827892	19.4316672054	135.035772534	0	96.9919118848
La56	208.1380400782	52.7787733459	18.835558904	316.0498435925	0	13.9576634903	63.2742120456	0	51.595868844	10.6945238565	38.2862655432	199.6351054437	226.7197813641	0	0	298.3652290524	54.0536673704	14.0693957229	94.0224782002	0	47.6593302228	19.9961263281	138.0849525286	22.248281747	131.4026360215
La57	187.8207628161	0	348.2715083488	63.1808953875	0	43.4838558236	19.3603804212	0	11.754581755	28.7734699288	0	109.8764237653	697.7854747969	80.7458932072	0	55.7246612087	216.1300256992	0	351.0805614128	0	0	21.2222746187	834.8338596302	0	119.7162585892
La58	139.663620555	29.2773444688	14.4138815037	49.3598528972	34.3630779667	0	56.4902834601	0	12.3974525096	0	0	198.6504329285	143.2891366117	0	10.1186481842	39.5316785988	56.4010134466	0	111.1918769752	0	0	22.3617896995	109.5092260862	0	26.3257368917
La59	70.1268505878	69.8367535745	24.9454813795	44.1251568433	0	17.2455602255	136.5221764744	0	22.9762806586	0	14.9589003023	143.6913555678	73.5003725075	0	26.2330698635	142.4239903683	27.5766113219	0	18.0815840847	0	106.0424926697	24.1700926834	52.2868174294	16.898484063	157.8915548613
La60	82.4874734485	12.440775458	10.5453012206	46.0392231061	0	0	36.7499758171	0	19.1686170693	0	0	40.9299640221	103.4206458743	0	0	56.1646505116	9.4492268359	0	0	0	87.7812245036	0	35.7225528505	0	35.4520226303
La61	65.1623208747	21.3756928083	16.5221090847	31.0860399492	0	9.6282740733	25.209358523	0	16.0339523771	18.6932367048	0	37.1592787714	75.798645627	0	0	33.394072322	0	13.1357831325	0	0	91.0212208864	0	0	0	31.0297320712
La62	12.3353516679	8.2565406826	40.5987132714	0	0	0	0	0	0	0	0	0	21.8979445486	0	0	0	7.7503703004	0	22.409596798	0	0	0	0	0	0
La63	0	0	14.7962414128	0	0	0	7.324031116	7.643249435	0	20.5390099209	0	7.3611311797	0	0	0	0	18.3101246546	0	33.0334999505	0	11.8670678021	0	20.4343016244	0	8.23650368
La64	0	10.1486060607	6.3522006931	30.4723937661	0	0	6.9212464179	0	8.3719871189	0	11.0014562589	18.1850427742	0	16.75414128	0	31.4523276335	10.3785467141	21.9729097278	0	0	0	0	36.1727166678	0	9.0107784618
La65	817.669192331	210.9997791966	236.7198856502	616.8089462987	114.4553192101	405.1349956249	721.2186778651	86.1584706449	377.9986691288	46.4326850253	50.0224117141	881.9270650557	1175.3393050671	20.839680519	75.8422500534	608.8758126323	284.2925212651	467.043104197	526.3145504505	0	88.8241333404	173.5111975213	582.703869999	57.7741341893	669.4224072365
La66	0	0	0	0	0	0	0	0	0	3.2076121782	0	10.0619542943	30.3559405264	0	0	0	13.4291537804	0	0	0	21.2539508901	0	35.5224228785	0	0
La67	212.3497381906	8.3070594508	116.2790886655	148.137547931	25.7151232333	17.9454255637	36.6366263261	0	8.9665678886	0	8.5891277869	137.1764640395	220.0200057804	0	77.3954021267	152.9073658699	77.305665918	0	118.1264937402	27.9602021674	209.2520912687	38.8297425497	142.7165986576	14.5599917166	129.2405772371
La69	0	0	10.8388646418	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2617044327	0	26.5774772098	0	0	0	0	0	12.937823611
La70	2055.6154347576	470.2155378684	834.4582168875	1224.4869044211	39.5538435982	136.6863896753	953.8784175731	0	14.6477124824	0	0	877.6828279469	2666.1289464579	0	601.1528343687	1247.7835758633	308.4091426622	0	692.2403760577	0	0	1523.8186410269	4547.8612117866	0	963.6843077742
