feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7392..taxadiene.biosynthesis..engineered.	group	CRC	1.35457602538498	0.385008069175726	84	23	0.000711320705568419	0.0177830176392105
HISDEG.PWY..L.histidine.degradation.I	group	CRC	1.45305661060752	0.46334306842956	84	36	0.00237787355413839	0.0297234194267298
CITRULBIO.PWY..L.citrulline.biosynthesis	group	CRC	1.02447717551651	0.444069624967571	84	35	0.0235760113735908	0.15973245037653
PWY.5695..inosine.5..phosphate.degradation	group	CRC	1.11252871162591	0.489163573968614	84	73	0.0255571920602447	0.15973245037653
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	group	CRC	1.05333121655132	0.510711329525103	84	68	0.0423276856616502	0.176365356923543
PWY.5659..GDP.mannose.biosynthesis	group	CRC	0.916403440581952	0.437182130129022	84	75	0.0391510470257445	0.176365356923543
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	group	CRC	0.88695444180562	0.471834631394916	84	45	0.0636869359586717	0.176908155440755
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	group	CRC	1.00627629003638	0.530480877187061	84	51	0.0613600305465825	0.176908155440755
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	group	CRC	0.918897194908783	0.473494969338432	84	81	0.0557346807351999	0.176908155440755
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	group	CRC	0.909531154873686	0.515185790451707	84	77	0.0812120421758098	0.185595452986831
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	group	CRC	0.909468664152463	0.515926022759782	84	75	0.0816619993142057	0.185595452986831
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	group	CRC	0.508742646990006	0.302122192557317	84	13	0.0960048637499336	0.200010132812362
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	group	CRC	0.763125181433925	0.478256380091809	84	58	0.114416220365189	0.220031193009978
ANAEROFRUCAT.PWY..homolactic.fermentation	group	CRC	0.840213047546489	0.5592232653734	84	71	0.136818654561998	0.244319026003567
PWY.5103..L.isoleucine.biosynthesis.III	group	CRC	0.757229787779402	0.527875427535221	84	71	0.155236535625935	0.258727559376558
PWY.7013...S..propane.1.2.diol.degradation	group	CRC	0.804006293842936	0.580677494156037	84	61	0.16993082400468	0.265516912507312
GLUDEG.I.PWY..GABA.shunt	group	CRC	0.4487184335062	0.36177653647331	84	34	0.2183946396427	0.321168587709853
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	group	CRC	0.519876933975276	0.542598788987211	84	67	0.340816695089147	0.405734160820414
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	group	CRC	-0.377192139410343	0.360209765840403	84	18	0.298109143971374	0.405734160820414
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	group	CRC	0.568757668713518	0.557380557476797	84	78	0.31053437180399	0.405734160820414
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	group	CRC	0.515153912704274	0.528660853910015	84	43	0.332698742028778	0.405734160820414
GALACTITOLCAT.PWY..galactitol.degradation	group	CRC	0.209742594417873	0.261967472594729	84	22	0.425651647302656	0.483695053753018
PWY.7977..L.methionine.biosynthesis.IV	group	CRC	0.3003779200813	0.534822003632879	84	73	0.575892566403631	0.625970180873512
GALACTUROCAT.PWY..D.galacturonate.degradation.I	group	CRC	-0.00731511423953952	0.464801466448876	84	32	0.987481522809443	0.987481522809443
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	group	CRC	0.0053808911412704	0.296018539830595	84	21	0.985541371075199	0.987481522809443
