feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7392..taxadiene.biosynthesis..engineered.	group	CRC	1.35457602538498	0.385008069175726	84	23	0.000711320705568419	0.0177830176392105
HISDEG.PWY..L.histidine.degradation.I	group	CRC	1.45305661060752	0.46334306842956	84	36	0.00237787355413839	0.0297234194267298
CITRULBIO.PWY..L.citrulline.biosynthesis	group	CRC	1.02447717551651	0.444069624967571	84	35	0.0235760113735908	0.15973245037653
PWY.5695..inosine.5..phosphate.degradation	group	CRC	1.11252871162591	0.489163573968614	84	73	0.0255571920602447	0.15973245037653
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	group	CRC	1.05333121655132	0.510711329525103	84	68	0.0423276856616502	0.176365356923543
PWY.5659..GDP.mannose.biosynthesis	group	CRC	0.916403440581952	0.437182130129022	84	75	0.0391510470257445	0.176365356923543
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	group	CRC	0.88695444180562	0.471834631394916	84	45	0.0636869359586717	0.176908155440755
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	group	CRC	1.00627629003638	0.530480877187061	84	51	0.0613600305465825	0.176908155440755
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	group	CRC	0.918897194908783	0.473494969338432	84	81	0.0557346807351999	0.176908155440755
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	group	CRC	0.909531154873686	0.515185790451707	84	77	0.0812120421758098	0.185595452986831
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	group	CRC	0.909468664152463	0.515926022759782	84	75	0.0816619993142057	0.185595452986831
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	group	CRC	0.508742646990006	0.302122192557317	84	13	0.0960048637499336	0.200010132812362
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	group	CRC	0.763125181433925	0.478256380091809	84	58	0.114416220365189	0.220031193009978
ANAEROFRUCAT.PWY..homolactic.fermentation	group	CRC	0.840213047546489	0.5592232653734	84	71	0.136818654561998	0.244319026003567
