feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	AST.PWY..L.arginine.degradation.II..AST.pathway.	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La20	38.4843406678	0	0	0	13.7753492548	0	0	25.826901632	0	0	0	0	18.2108889183	48.7103455592	0	28.9622606955	22.6704399078	0	13.6654085136	21.2251813763	0	117.7340962974	9.7258875489	38.9502190158	0	22.2089984548
La25	40.0797879839	0	14.4867397955	0	21.7384329585	0	0	39.8033304385	0	0	0	0	132.8637348299	58.2648736793	0	10.618105311	17.2039111466	18.3209648606	39.9088142241	17.2774577631	0	55.9296660401	0	39.909699562	0	25.5801398322
La64	0	10.1486060607	6.3522006931	0	30.4723937661	0	0	6.9212464179	0	8.3719871189	0	11.0014562589	18.1850427742	0	16.75414128	0	31.4523276335	10.3785467141	21.9729097278	0	0	0	0	36.1727166678	0	9.0107784618
La65	817.669192331	210.9997791966	236.7198856502	0	616.8089462987	114.4553192101	405.1349956249	721.2186778651	86.1584706449	377.9986691288	46.4326850253	50.0224117141	881.9270650557	1175.3393050671	20.839680519	75.8422500534	608.8758126323	284.2925212651	467.043104197	526.3145504505	0	88.8241333404	173.5111975213	582.703869999	57.7741341893	669.4224072365
La66	0	0	0	7.2087826869	0	0	0	0	0	0	3.2076121782	0	10.0619542943	30.3559405264	0	0	0	13.4291537804	0	0	0	21.2539508901	0	35.5224228785	0	0
La67	212.3497381906	8.3070594508	116.2790886655	0	148.137547931	25.7151232333	17.9454255637	36.6366263261	0	8.9665678886	0	8.5891277869	137.1764640395	220.0200057804	0	77.3954021267	152.9073658699	77.305665918	0	118.1264937402	27.9602021674	209.2520912687	38.8297425497	142.7165986576	14.5599917166	129.2405772371
La69	0	0	10.8388646418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2617044327	0	26.5774772098	0	0	0	0	0	12.937823611
La70	2055.6154347576	470.2155378684	834.4582168875	0	1224.4869044211	39.5538435982	136.6863896753	953.8784175731	0	14.6477124824	0	0	877.6828279469	2666.1289464579	0	601.1528343687	1247.7835758633	308.4091426622	0	692.2403760577	0	0	1523.8186410269	4547.8612117866	0	963.6843077742
La74	38.4037381505	23.1999054264	0	0	74.6054306803	15.9162871291	40.6178118184	33.8425451945	13.7074628412	0	0	26.138181767	93.3930813766	51.5461445676	0	30.9798534695	71.206041715	37.7554917767	0	74.789164737	18.5299808975	49.3384206702	29.1265515844	84.082061492	14.6693335679	40.205105761
La75	351.6168163289	32.7163262622	80.669815781	0	144.0312231668	38.8838016767	49.5240234469	101.1960638472	0	15.844748364	0	32.815906594	626.5685764534	438.2288223656	7.6203671631	167.3384299219	258.8704182926	72.1062018088	432.4143893293	159.5501454745	0	905.1335705555	50.694706259	105.0539178554	0	171.8377084775
La76	840.6587636895	82.7898550429	796.8237240507	0	302.1946716718	228.0666224047	87.9588819113	417.6490369711	0	0	29.9071758169	76.176188802	900.6210516021	1128.252526843	13.3680512373	373.4507086993	483.2559164458	281.647956712	107.6387321575	351.0423000364	42.3251148176	1342.1635636583	348.2478435374	763.4199550024	195.3606933233	515.0517233873
La78	51.0320710699	9.4414392166	0	0	0	0	0	9.6863029478	14.9147678258	0	0	7.1595938459	11.2835626636	69.9963142229	0	0	0	17.603373731	17.8730913907	50.5100956726	0	29.2070901663	0	53.5010498421	0	19.7555228775
La79	46.3821918385	11.5640115046	0	0	56.3079186404	0	0	20.5537227567	0	0	0	15.5800191767	8.5210122338	81.3723218159	0	0	55.0610361448	0	10.6349120932	22.1268254009	26.6189634572	21.5914852787	13.4139503939	29.593610127	0	33.7086699232
La80	240.2088652483	32.4193046112	134.8585146213	0	120.0046580373	38.0616352639	16.8114035218	124.6357206233	0	4.8735512175	0	0	128.509925156	334.9800592626	10.8822778292	91.5367405686	137.2301777654	79.205494369	32.4691941089	93.7717092211	0	84.1894729105	136.2908687189	433.6143410756	74.7090871795	121.2883276943
La81	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3469938792	0	0	0	0	0	15.9500074938	0	0	0	15.2632139994	0	0
La82	40.6023455768	6.978294066	0	0	0	0	0	12.5852452096	0	0	0	16.2822097497	9.1403529147	55.862616179	0	0	17.930980454	9.0265075144	0	36.5131509695	0	0	0	22.2542793174	0	0
La83	200.9333275415	32.3850156956	35.48011874	0	94.9344917585	39.1889261856	0	97.7342657767	0	0	0	15.3465943491	132.2319075498	219.7717818346	11.3160555309	9.29471266	135.5748143116	26.5641963358	0	86.9049292315	0	9.6279670186	39.8677277376	393.7768260582	30.7296332895	114.9019425252
