feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	type	CRC	1.60856420774706	0.633573790953286	56	40	0.0176132310215333	0.0970462370521405
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	type	CRC	1.17281203765124	0.423508873914914	56	30	0.0103194803926962	0.0970462370521405
HISDEG.PWY..L.histidine.degradation.I	type	CRC	1.21725285638426	0.509742582545714	56	27	0.0243585814920501	0.0970462370521405
PWY.5659..GDP.mannose.biosynthesis	type	CRC	1.34798432719204	0.535604330697951	56	50	0.0176957250520897	0.0970462370521405
PWY.5695..inosine.5..phosphate.degradation	type	CRC	1.19494121445319	0.497877850387691	56	48	0.0230690717647427	0.0970462370521405
PWY.7013...S..propane.1.2.diol.degradation	type	CRC	1.20937067482468	0.489257375235847	56	41	0.0204526596307326	0.0970462370521405
PWY.7392..taxadiene.biosynthesis..engineered.	type	CRC	1.23040483413372	0.537949781892169	56	19	0.0261278330524994	0.0970462370521405
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	type	CRC	1.14479052456116	0.549551713569008	56	51	0.0472322210310413	0.131056226561865
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	type	CRC	1.13202729519638	0.55170202202933	56	51	0.0504062409853327	0.131056226561865
PWY.5103..L.isoleucine.biosynthesis.III	type	CRC	1.16227859077832	0.554862704981067	56	46	0.0466347455689468	0.131056226561865
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	type	CRC	0.704190309074625	0.361730734328304	56	9	0.0567773641936034	0.134201042639426
CITRULBIO.PWY..L.citrulline.biosynthesis	type	CRC	1.02323312502419	0.5439355859079	56	25	0.0700016534069159	0.151670249048318
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	type	CRC	0.909875352681237	0.497330524160737	56	55	0.0793877768279314	0.158775553655863
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	type	CRC	0.965831346410503	0.57944969729189	56	32	0.107655111206379	0.199930920811846
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	type	CRC	0.945374921324906	0.595920034929223	56	42	0.124777050197428	0.209393158092794
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	type	CRC	1.01472457131708	0.646230689084127	56	50	0.128857328057104	0.209393158092794
GALACTUROCAT.PWY..D.galacturonate.degradation.I	type	CRC	0.76184027031184	0.503766076625463	56	16	0.140759466153491	0.215279183528869
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	type	CRC	0.88420649132257	0.601432179176137	56	37	0.153051085876366	0.221073790710306
ANAEROFRUCAT.PWY..homolactic.fermentation	type	CRC	1.02099267206426	0.724971793087911	56	46	0.170404235125628	0.221525505663317
PWY.7977..L.methionine.biosynthesis.IV	type	CRC	0.820079927758047	0.571242233369274	56	46	0.162517560286443	0.221525505663317
