sample	total_reads	scaling_factor
La100	763042	0.08814980040417172
La101	368052	0.18275135035266757
La102	270831	0.24835413966643405
La103	716145	0.09392232020051805
La104	310754	0.21644773679502113
La105	847934	0.07932457007267076
La106	7416708	0.009068983166116288
La107	642525	0.10468386444107233
La108	689435	0.09756104636405172
La109	738168	0.09112017860432856
La110	5345933	0.01258190104514965
La111	927981	0.07248208745653198
La112	2457035	0.027375271414530115
La113	366387	0.18358184105877118
La114	557215	0.12071103613506456
La115	242680	0.2771633426734795
La116	275606	0.2440512906105092
La117	639690	0.105147805968516
La118	573035	0.11737851963667141
La119	318241	0.211355545011485
La120	389543	0.17266899931458143
La121	376348	0.1787228841391478
La122	494031	0.13614935095166092
La123	280066	0.24016481829283098
La124	476581	0.14113445563293542
La125	12159109	0.005531819806862493
La34	405181	0.16600482253610116
La35	225930	0.2977116806090382
La36	325073	0.2069135240392158
La37	355998	0.18893926370372868
La38	286124	0.23507989542995344
La39	1038235	0.06478494753114661
La40	622398	0.1080691133326264
La41	748644	0.08984510661943461
La42	452960	0.14849434828682445
La43	797578	0.08433281760530005
La44	427715	0.15725892241328923
La46	606661	0.11087246419334686
La47	464358	0.14484944805516434
La48	454105	0.1481199282104359
La49	322263	0.20871772434316072
La50	141414	0.4756389042103328
La51	347390	0.19362100233167334
La52	437494	0.1537438227724266
La53	159604	0.4214305405879552
La54	138966	0.4840176733877351
La55	395158	0.17021545812054925
La56	466765	0.14410249268904052
La57	433529	0.15514994383305383
La58	411658	0.16339291353502178
La59	459168	0.1464866889678723
La60	331059	0.20317224422232896
La61	336266	0.20002616975846502
La62	294575	0.2283357379275227
La63	326776	0.2058351898548241
La64	255195	0.26357099472952056
La65	1966623	0.03420177634452561
La66	311478	0.2159446253025896
La67	442159	0.15212174805895617
La68	153036	0.4395174991505267
La69	218447	0.307909927808576
La70	3755442	0.017910541555428094
La73	154844	0.43438557515951537
La74	360458	0.1866014903261961
La75	828350	0.08119997585561659
La76	1390154	0.04838456746518731
La77	221077	0.30424693658770474
La78	276120	0.2435969868173258
La79	262816	0.2559281017898454
La80	561964	0.1196909410567225
La81	257849	0.2608580991200276
La82	281729	0.23874716482861189
La83	462696	0.1453697460103394
La84	284514	0.23641015907828788
La85	1067639	0.06300069592811802
La86	432221	0.15561946319128409
La87	229325	0.29330426250953884
La88	228956	0.2937769702475585
La89	218578	0.30772538864844584
La90	353812	0.19010661029021061
La91	253212	0.265635119978516
La92	299251	0.22476783703312603
La93	282676	0.23794733192771936
La94	400110	0.16810877008822575
La95	254344	0.26445286698329823
La96	10327062	0.006513178675600089
La97	925790	0.07265362555223107
La98	15032209	0.004474525334233977
La99	1122535	0.059919735242108266
Lasse10	220792	0.30463966085727745
Lasse11	132960	0.50588146811071
Lasse12	170849	0.3936926759887386
Lasse13	142621	0.471613577243183
Lasse14	92348	0.7283536189197384
Lasse15	124724	0.5392867451332543
Lasse16	100238	0.6710229653424848
Lasse17	84589	0.795162491576919
Lasse18	131026	0.513348495718407
Lasse19	151522	0.44390913530708415
Lasse20	300551	0.22379562869529632
Lasse21	130419	0.5157377375995829
Lasse22	113271	0.5938148334525165
Lasse23	118492	0.5676501367180907
Lasse24	208893	0.3219925990818266
Lasse25	283165	0.2375364186958134
Lasse26	135595	0.49605073933404625
Lasse27	136586	0.4924516421888041
Lasse28	81013	0.8302618098329898
Lasse29	147108	0.4572287027218098
Lasse30	162351	0.414299881121767
Lasse31	136105	0.49419198412989973
Lasse32	67262	1.0
Lasse33	137887	0.48780523182025864
Lasse4	108087	0.6222950030993551
Lasse5	216769	0.3102934460185728
Lasse6	94457	0.7120912161089172
Lasse7	171693	0.3917573809066182
Lasse8	100142	0.6716662339477941
Lasse9	650973	0.1033253299291983
