Geneid	rab.all	rab.win.CRC	rab.win.Paired	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS00620	3.85300872135567	4.54728704089142	2.73950535675464	-1.96952154517198	3.51394480455561	-0.48149488343608	0.268321990326691	0.00743904691381858	0.531637467080922	0.000525535858300872	0.178712573051597	58	0.121041004588389	NZ_CP028101.1	rpsB	30S ribosomal protein S2	F. nucleatum	CRC vs Paired
C7Y58_RS02765	2.25882348535942	3.39759033388964	0.786669124122	-2.42607959879343	4.25520818603382	-0.48961764882058	0.276041670414227	0.0101221088851472	0.544681865250656	0.00121302618690012	0.215678737457486	39	0.0625407384222793	NZ_CP028101.1	infB	translation initiation factor IF-2	F. nucleatum	CRC vs Paired
C7Y58_RS02670	4.5794432506504	5.28042878839315	3.44400214599573	-1.75932776912797	4.03633517170402	-0.385358996079225	0.304887823591461	0.00686890415102238	0.593375417130915	0.00355978404974802	0.374315544984735	59	0.18920954365319	NZ_CP028101.1	rplA	50S ribosomal protein L1	F. nucleatum	CRC vs Paired
C7Y58_RS00725	2.59095950886316	3.9321461287012	1.27318107728143	-2.5042276607733	4.68751275806451	-0.479362367472697	0.29114938263643	0.00673259439378124	0.59662340788951	0.00189154874137689	0.27588002365766	43	0.136683404322988	NZ_CP028101.1	rplB	50S ribosomal protein L2	F. nucleatum	CRC vs Paired
C7Y58_RS09430	2.63695712600543	3.80038642961704	1.37589480806186	-2.26236294453372	4.42967109811381	-0.44586940941569	0.277933523921585	0.0152037243446335	0.61160333293888	0.00148534223433234	0.241599406163086	42	0.0859754775080618	NZ_CP028101.1	rplQ	50S ribosomal protein L17	F. nucleatum	CRC vs Paired
C7Y58_RS02690	4.32618085663935	4.88515987605501	3.38979932243946	-1.60528520095305	3.42621297227183	-0.408063406000198	0.29046474698959	0.0095405271137663	0.614460903792249	0.0013569552269641	0.251251023404695	61	0.197463651262222	NZ_CP028101.1	rpoC	DNA-directed RNA polymerase subunit beta'	F. nucleatum	CRC vs Paired
C7Y58_RS00305	5.7152293379125	6.53513345015672	4.66647546085609	-1.83170165173906	3.58921362482599	-0.435033119511607	0.284855772762443	0.00858506028686635	0.629309489866803	0.0010834374147506	0.254047241499561	68	0.59863925552567	NZ_CP028101.1	fusA	elongation factor G	F. nucleatum	CRC vs Paired
C7Y58_RS00625	2.18959228568075	3.73241842001447	1.07238701875556	-2.24916114953362	4.66241297839786	-0.415260904381413	0.293151785474019	0.0116826293593248	0.632313474656771	0.00334115974510669	0.317091490004236	41	0.0978948706637616	NZ_CP028101.1	tsf	translation elongation factor Ts	F. nucleatum	CRC vs Paired
C7Y58_RS03300	1.71385512886178	3.25488342527939	0.734953674482591	-2.61081970393486	5.08605535619432	-0.447127920015626	0.305689105625592	0.0151370438724856	0.644011105521019	0.00576134989138147	0.362549217394303	35	0.0986308138247067	NZ_CP028101.1		BamA/OMP85 family outer membrane protein	F. nucleatum	CRC vs Paired
C7Y58_RS02680	4.58141875236112	5.25521394354646	3.56661047932149	-1.50066017919965	3.22438659952893	-0.401967192008241	0.283139771291249	0.0115202737145238	0.650682792355307	0.0013788883815668	0.259179495906348	66	0.123927056199939	NZ_CP028101.1	rplL	50S ribosomal protein L7/L12	F. nucleatum	CRC vs Paired
C7Y58_RS05410	1.56318493488187	2.57274355176429	0.499515210336424	-1.99397068451744	4.13805325718396	-0.429914102859411	0.291950343771406	0.0161047313791011	0.651694047888829	0.00542446725580703	0.344784926800972	34	0.038745242885053	NZ_CP028101.1	lysS	lysine--tRNA ligase	F. nucleatum	CRC vs Paired
C7Y58_RS04710	3.62454805452816	4.71519788503363	2.41302371806885	-1.90780944747554	4.14404900849286	-0.417673405039117	0.283653849714314	0.0143680274688168	0.660555012358581	0.00180753100216124	0.274369578899965	51	0.10418646317694	NZ_CP028101.1	rpsI	30S ribosomal protein S9	F. nucleatum	CRC vs Paired
C7Y58_RS02250	1.91589807575871	2.9445349220983	1.05873417262875	-1.85493876585837	3.77991180768942	-0.420537059424476	0.286057695810768	0.022074532489285	0.673592723821178	0.00432892316517587	0.323180981619864	41	0.0380237299821656	NZ_CP028101.1	gyrA	DNA gyrase subunit A	F. nucleatum	CRC vs Paired
I6J55_RS18515	1.96776232716542	2.75614330955551	0.919266886876438	-1.78921806337278	3.77676297818988	-0.412077195824922	0.28434121299248	0.0277541396646339	0.68534786387472	0.00707337211133919	0.342038777324011	41	0.0233192970213206	NZ_CP069563.1		IMP dehydrogenase	B. fragilis	CRC vs Paired
C7Y58_RS03290	1.82310512198859	2.74822781821404	0.852811365330104	-1.88385878935574	4.11602583099935	-0.395400942620533	0.293952746609193	0.0331440872475359	0.697492889935354	0.00707754002452924	0.36720779896318	39	0.05734584552149	NZ_CP028101.1	rny	ribonuclease Y	F. nucleatum	CRC vs Paired
C7Y58_RS01655	4.08321328288532	4.57062273453534	3.46770386586763	-1.27643855855198	3.22755488609596	-0.345737049629242	0.311974372170041	0.0136234576895023	0.698133275971989	0.0067789382991079	0.41422347375301	63	0.175486368240272	NZ_CP028101.1	dnaK	molecular chaperone DnaK	F. nucleatum	CRC vs Paired
C7Y58_RS00640	2.37832364211579	3.90640137227415	1.21677680761978	-2.29667983394548	4.66703948939073	-0.415504781285459	0.287259618859285	0.0213776061147721	0.73439834160887	0.00201218727651818	0.280982915743719	42	0.169829707081635	NZ_CP028101.1	secY	preprotein translocase subunit SecY	F. nucleatum	CRC vs Paired
C7Y58_RS02665	2.52715326400315	3.50066617415213	1.64687733776814	-1.94301424475316	4.26240400153716	-0.401494317966412	0.307569085918578	0.032766349385306	0.764017854851773	0.0061779598992098	0.393107324011348	46	0.116784078461354	NZ_CP028101.1	rplK	50S ribosomal protein L11	F. nucleatum	CRC vs Paired
C7Y58_RS08380	1.37717348194474	2.42567550088239	0.454804735201016	-1.7360944645443	4.12840146203874	-0.365695001158741	0.304887823591461	0.0468886156247939	0.764715814772323	0.0110637971822501	0.418412257707581	32	0.0214000726996401	NZ_CP028101.1	topA	type I DNA topoisomerase	F. nucleatum	CRC vs Paired
C7Y58_RS05350	1.58102044561317	2.83576919780144	0.478456423586621	-2.14229420581035	4.61515078782626	-0.417054636568615	0.30316379966915	0.0417986901503574	0.766590099918227	0.00557906145680031	0.356192732779519	33	0.0379227181757614	NZ_CP028101.1		aldehyde dehydrogenase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS03750	0.883092689200352	2.0296757703922	0.0108932266482249	-1.76148399544552	4.42862862675459	-0.345172258816998	0.324118592428409	0.0678330735937695	0.780487683453334	0.0275685544306428	0.518041171181127	27	0.0631323790026469	NZ_CP028101.1		amino acid ABC transporter ATP-binding/permease protein	F. nucleatum	CRC vs Paired
C7Y58_RS09445	2.68273577153551	3.40076867063768	1.87060627250003	-1.63168009388935	4.03545937601447	-0.34969394405842	0.326121797517573	0.0308849223781216	0.79006159249397	0.01229085904588	0.492199530693217	49	0.0963508330515826	NZ_CP028101.1	rpsK	30S ribosomal protein S11	F. nucleatum	CRC vs Paired
C7Y58_RS08880	5.1989251514071	5.72499233714636	4.74340876495245	-1.49100792959604	3.8678962781192	-0.348848302934163	0.320913464286479	0.0195964536160335	0.796586858380881	0.00642502847691894	0.460290394975383	67	0.527786688462128	NZ_CP028101.1	nifJ	pyruvate:ferredoxin (flavodoxin) oxidoreductase	F. nucleatum	CRC vs Paired
C7Y58_RS04120	1.12599463022205	2.51606832524674	0.291764781940396	-1.99931832230776	4.73144757818017	-0.381384499045658	0.326121797517573	0.0647463936948082	0.797738524393014	0.0172419736005267	0.503544684858353	28	0.0340698392743427	NZ_CP028101.1		2-hydroxyacyl-CoA dehydratase subunit D	F. nucleatum	CRC vs Paired
