Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS12290	785.272882923494	-8.13927792451979	1.35763997102305	-5.99516668501326	2.03276828984144e-09	2.17573965956028e-06	10	0.045701385448543	NZ_CP069563.1		1-acyl-sn-glycerol-3-phosphate acyltransferase	B. fragilis	CRC vs Paired
C7Y58_RS03500	60.7633513554441	24.4956052248552	4.04881615457814	6.05006606614062	1.44786445881102e-09	2.17573965956028e-06	4	0.0141691284253103	NZ_CP028101.1	kce	3-keto-5-aminohexanoate cleavage enzyme	F. nucleatum	CRC vs Paired
C7Y58_RS05580	241.566742618362	22.6692568994519	3.75150056503362	6.04271717582661	1.5154016216112e-09	2.17573965956028e-06	5	0.0746002912656328	NZ_CP028101.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	F. nucleatum	CRC vs Paired
C7Y58_RS03445	134.522698710698	20.6464369664321	3.74353304101098	5.51522765800306	3.48328759731985e-08	2.79620911874851e-05	5	0.0396022042678638	NZ_CP028101.1	rpsT	30S ribosomal protein S20	F. nucleatum	CRC vs Paired
C7Y58_RS10185	139.80314325017	21.5369724796199	4.04862750904069	5.31957371517317	1.04010665389369e-07	6.67956493130526e-05	4	0.0413011405298914	NZ_CP028101.1	rpmB	50S ribosomal protein L28	F. nucleatum	CRC vs Paired
C7Y58_RS03505	95.6215392780432	21.02946345052	4.04869455325056	5.19413434970937	2.05674578319625e-07	9.93202935654504e-05	4	0.0196906712769001	NZ_CP028101.1	kdd	L-erythro-3,5-diaminohexanoate dehydrogenase	F. nucleatum	CRC vs Paired
C7Y58_RS09570	88.7151274369409	20.9908074422818	4.04871088979315	5.1845656589607	2.16518858597992e-07	9.93202935654504e-05	4	0.0340127039657929	NZ_CP028101.1		energy transducer TonB	F. nucleatum	CRC vs Paired
C7Y58_RS00050	72.4948513047216	20.6205857110925	4.0487622506937	5.0930591707526	3.523316776415e-07	0.000141417127113357	4	0.0200644372545462	NZ_CP028101.1	nikA	nickel ABC transporter substrate-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS10355	52.8182598002125	20.3514843294343	4.04886642510726	5.0264647416456	4.99604288146923e-07	0.000178247707693308	3	0.010890181439597	NZ_CP028101.1		sialic acid TRAP transporter substrate-binding protein SiaP	F. nucleatum	CRC vs Paired
C7Y58_RS10365	37.25465888088	20.0264489248387	4.04902664042489	4.94599090183738	7.57574973644468e-07	0.000243257324037239	3	0.00733940465195932	NZ_CP028101.1		ROK family protein	F. nucleatum	CRC vs Paired
C7Y58_RS07115	41.5651153704087	19.8671794566063	4.04896949473627	4.90672490430811	9.26097823069245e-07	0.000266383836151265	3	0.0179067882017711	NZ_CP028101.1		GntP family permease	F. nucleatum	CRC vs Paired
C7Y58_RS08750	112.923562679943	19.8081703566553	4.04866208487155	4.89252250284644	9.9551729486614e-07	0.000266383836151265	4	0.0279475015103543	NZ_CP028101.1		DUF6612 family protein	F. nucleatum	CRC vs Paired
I6J55_RS04015	87.6231045927738	-5.33146247555712	1.1062347552627	-4.81946752277825	1.43941881767864e-06	0.000330140987397579	11	0.00924221326543025	NZ_CP069563.1		DUF6531 domain-containing protein	B. fragilis	CRC vs Paired
C7Y58_RS04880	31.8496707293455	19.5637256123565	4.04911753580837	4.83160230330306	1.35438593045019e-06	0.000330140987397579	4	0.0140332135243481	NZ_CP028101.1	atpB	F0F1 ATP synthase subunit A	F. nucleatum	CRC vs Paired
C7Y58_RS06920	32.4596523201883	19.4394583279506	4.04910557507392	4.800926517604	1.57933217662568e-06	0.000338082374609671	3	0.0160719370387813	NZ_CP028101.1		toxin-antitoxin system YwqK family antitoxin	F. nucleatum	CRC vs Paired
C7Y58_RS03290	166.647459687613	8.26437773780704	2.16421093348728	3.8186563102194	0.000134180551681269	0.0269283594655347	9	0.060838907543209	NZ_CP028101.1	rny	ribonuclease Y	F. nucleatum	CRC vs Paired
I6J55_RS18610	11.4415267311191	-4.2598335918084	1.12827377055851	-3.775531881504	0.000159666600114251	0.0301582031156976	9	0.00132517028438154	NZ_CP069563.1		tetratricopeptide repeat protein	B. fragilis	CRC vs Paired
I6J55_RS08090	57.7041617992935	-7.36634475492418	2.0267904250727	-3.63448764302306	0.000278533606028629	0.0496873004976627	7	0.00297313845854833	NZ_CP069563.1		RNA polymerase sigma-70 factor	B. fragilis	CRC vs Paired
I6J55_RS13940	26.6902202658626	-4.48774728352575	1.36531448047441	-3.28696966721276	0.00101271741489598	0.171149243117421	10	0.0100916813964441	NZ_CP069563.1		hybrid sensor histidine kinase/response regulator transcription factor	B. fragilis	CRC vs Paired
I6J55_RS00565	87.8775062088369	3.81522122844352	1.17279429532172	3.25310350132367	0.00114151910065077	0.183270891609481	11	0.0368329381607588	NZ_CP069563.1		TonB-dependent receptor	B. fragilis	CRC vs Paired
I6J55_RS05660	33.2637924260451	5.92919436671973	1.83796502528848	3.22595603569176	0.00125552641286456	0.191975967224195	9	0.018824213783266	NZ_CP069563.1		DUF5686 and carboxypeptidase-like regulatory domain-containing protein	B. fragilis	CRC vs Paired
I6J55_RS02680	23.3893059235979	-5.22745087409073	1.6446811550054	-3.17839774486476	0.00148091444160503	0.215018886585341	8	0.00718650038837683	NZ_CP069563.1		NUDIX hydrolase	B. fragilis	CRC vs Paired
I6J55_RS18245	13.2564613013035	-7.02139546936364	2.21704290096279	-3.16700929256465	0.00154015396806691	0.215018886585341	5	0.000730542592671876	NZ_CP069563.1	traK	conjugative transposon protein TraK	B. fragilis	CRC vs Paired
I6J55_RS10810	100.861742421669	7.51502764999324	2.40963015162366	3.1187473500568	0.00181621624899886	0.242994598980639	9	0.0711854293789572	NZ_CP069563.1		SusC/RagA family TonB-linked outer membrane protein	B. fragilis	CRC vs Paired
