Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS03545	34.3995362457676	6.46362591987584	0.640957179347397	10.0843334440171	6.48035068807777e-24	1.28051729596417e-20	71	0.614745017021363	NZ_CP028101.1	fomA	major outer membrane protein FomA	F. nucleatum	CRC vs Healthy
C7Y58_RS02945	16.1437958311651	4.54509906618826	0.59483016709597	7.64100295783242	2.15536110678906e-14	2.1294967735076e-11	73	0.247578526696346	NZ_CP028101.1	ahpC	alkyl hydroperoxide reductase subunit C	F. nucleatum	CRC vs Healthy
C7Y58_RS04385	11.3916069733114	5.81517309996848	0.775546686505136	7.49815994466243	6.47198999785421e-14	4.26288407858664e-11	47	0.21692259132372	NZ_CP028101.1		adhesion protein FadA	F. nucleatum	CRC vs Healthy
C7Y58_RS08430	6.04055047687675	5.67214336810593	0.78166545947793	7.25648459878773	3.97279942006234e-13	1.96256291351079e-10	40	0.125036100684283	NZ_CP028101.1		Dps family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS01455	16.3118143350104	5.46058910394229	0.756207948419058	7.22101521857619	5.16008774227592e-13	2.03926667574744e-10	55	0.303374497487284	NZ_CP028101.1		MliC family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS05440	7.41447818636242	5.21492030488735	0.73537454410893	7.09151594471683	1.32650791747894e-12	4.36863274156398e-10	49	0.160543859603948	NZ_CP028101.1		flavodoxin	F. nucleatum	CRC vs Healthy
C7Y58_RS05515	11.9270763365138	4.79044126464034	0.683171702754271	7.01206043126088	2.34833723748512e-12	6.62902054467228e-10	59	0.147641803691154	NZ_CP028101.1		Glu/Leu/Phe/Val family dehydrogenase	F. nucleatum	CRC vs Healthy
C7Y58_RS00200	5.33415631867394	4.41619559713501	0.642917238190537	6.86899547065219	6.46555589518244e-12	1.47839822469797e-09	54	0.0657300117405998	NZ_CP028101.1		acyl-CoA dehydrogenase family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS00620	6.47090855229675	2.86576390714812	0.418346216982088	6.85022068042467	7.37361513345603e-12	1.47839822469797e-09	78	0.11504784941566	NZ_CP028101.1	rpsB	30S ribosomal protein S2	F. nucleatum	CRC vs Healthy
C7Y58_RS09435	7.90419905630578	4.86394356471826	0.710257888595476	6.84813733549182	7.48177239219623e-12	1.47839822469797e-09	54	0.17584472213078	NZ_CP028101.1		DNA-directed RNA polymerase subunit alpha	F. nucleatum	CRC vs Healthy
C7Y58_RS02645	3.16556048799277	5.02475428929662	0.774315602107707	6.48928457029552	8.62449306717074e-11	1.54927257279358e-08	39	0.0655673807837159	NZ_CP028101.1	rpmG	50S ribosomal protein L33	F. nucleatum	CRC vs Healthy
C7Y58_RS04340	4.77637908729356	4.97389686172474	0.775468697233929	6.41405240400607	1.41701462782212e-10	2.33335075381377e-08	42	0.0860453287713543	NZ_CP028101.1		autotransporter-associated N-terminal domain-containing protein	F. nucleatum	CRC vs Healthy
C7Y58_RS03300	5.9184712800788	4.92753208999895	0.77238704154836	6.37961517339935	1.77533527387248e-10	2.69850961628616e-08	42	0.0928758289604805	NZ_CP028101.1		BamA/OMP85 family outer membrane protein	F. nucleatum	CRC vs Healthy
C7Y58_RS02250	1.88100005543066	3.70342622328602	0.58487559822472	6.33198963083274	2.42019755693054e-10	3.1882069149965e-08	47	0.0359007837321338	NZ_CP028101.1	gyrA	DNA gyrase subunit A	F. nucleatum	CRC vs Healthy
C7Y58_RS10235	3.81115392002428	4.58781331786194	0.723961768195777	6.33709336515859	2.34140121765574e-10	3.1882069149965e-08	42	0.049385600573762	NZ_CP028101.1	fap2	galactose-inhibitable autotransporter adhesin Fap2	F. nucleatum	CRC vs Healthy
C7Y58_RS00640	6.9509282985568	4.69994107288716	0.745899018759725	6.30104203743582	2.95651187914601e-10	3.65129217074533e-08	48	0.159798467718229	NZ_CP028101.1	secY	preprotein translocase subunit SecY	F. nucleatum	CRC vs Healthy
C7Y58_RS08880	34.5533918038987	2.86617662335499	0.455645475479139	6.29036559693921	3.167191644806e-10	3.68139452360979e-08	98	0.502556761930912	NZ_CP028101.1	nifJ	pyruvate:ferredoxin (flavodoxin) oxidoreductase	F. nucleatum	CRC vs Healthy
C7Y58_RS00625	6.42755488196762	4.70175549833317	0.748978371600754	6.27755844041844	3.43931007941884e-10	3.77559817607312e-08	47	0.0921846473937237	NZ_CP028101.1	tsf	translation elongation factor Ts	F. nucleatum	CRC vs Healthy
C7Y58_RS01935	3.79843723043758	4.73732164174094	0.755838688482173	6.26763582485322	3.66570842512988e-10	3.81233676213508e-08	41	0.0628975225748709	NZ_CP028101.1	nifS	cysteine desulfurase NifS	F. nucleatum	CRC vs Healthy
C7Y58_RS02675	5.73158139838602	4.31278911495758	0.691220362397218	6.23938377625396	4.39298008798204e-10	4.34026432692626e-08	52	0.12696056700741	NZ_CP028101.1	rplJ	50S ribosomal protein L10	F. nucleatum	CRC vs Healthy
C7Y58_RS00315	6.22637353666181	2.9915608329635	0.493464591844393	6.06236168188304	1.34137151508202e-09	1.09327383451338e-07	73	0.0843512563038131	NZ_CP028101.1	rpsL	30S ribosomal protein S12	F. nucleatum	CRC vs Healthy
C7Y58_RS00665	3.17228870781809	4.24154598604414	0.700222786750051	6.05742353191684	1.38319058010296e-09	1.09327383451338e-07	42	0.0679932925572349	NZ_CP028101.1	rplF	50S ribosomal protein L6	F. nucleatum	CRC vs Healthy
C7Y58_RS02665	4.45630024148455	3.85933256914841	0.634835471976997	6.07926421806538	1.20735272691647e-09	1.09327383451338e-07	55	0.11010115781044	NZ_CP028101.1	rplK	50S ribosomal protein L11	F. nucleatum	CRC vs Healthy
C7Y58_RS05580	4.44055494809303	4.86196108227676	0.802557535170265	6.05808414875237	1.37752333539641e-09	1.09327383451338e-07	41	0.0658926426974838	NZ_CP028101.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	F. nucleatum	CRC vs Healthy
C7Y58_RS09620	3.85647128913987	4.640824400886	0.764855114997934	6.06758627860982	1.29846867158916e-09	1.09327383451338e-07	43	0.0698499959816601	NZ_CP028101.1		SurA N-terminal domain-containing protein	F. nucleatum	CRC vs Healthy
C7Y58_RS01095	3.19546638514859	3.41538242788821	0.566107131912252	6.0331026326261	1.60841189078287e-09	1.22239303699498e-07	56	0.0544271602371647	NZ_CP028101.1	secA	preprotein translocase subunit SecA	F. nucleatum	CRC vs Healthy
C7Y58_RS00500	3.6925316237295	4.64977151853736	0.773022572137772	6.01505271143447	1.79828175350439e-09	1.31607583145358e-07	42	0.0480438951794694	NZ_CP028101.1	rsxC	electron transport complex subunit RsxC	F. nucleatum	CRC vs Healthy
C7Y58_RS04100	5.9402213247656	4.22269546811292	0.718517117571868	5.87695875970631	4.178722572308e-09	2.9489842153145e-07	47	0.0933637218311324	NZ_CP028101.1		acyl-CoA carboxylase subunit beta	F. nucleatum	CRC vs Healthy
C7Y58_RS00735	5.06773315558249	3.8894827291114	0.667832619347707	5.8240382641243	5.74424154072757e-09	3.91400733947506e-07	53	0.100560141673248	NZ_CP028101.1	rplD	50S ribosomal protein L4	F. nucleatum	CRC vs Healthy
C7Y58_RS08975	2.69049698323621	4.3705028596701	0.753203008060037	5.8025563000961	6.53114535331902e-09	4.30184773938613e-07	41	0.0436122016043815	NZ_CP028101.1		heavy metal translocating P-type ATPase	F. nucleatum	CRC vs Healthy
C7Y58_RS09440	5.24546887970835	3.94248082211428	0.682079869901275	5.78008675536037	7.46621143326838e-09	4.75910767488333e-07	55	0.0871566403100613	NZ_CP028101.1	rpsD	30S ribosomal protein S4	F. nucleatum	CRC vs Healthy
I6J55_RS12400	14.0031528910044	1.83013505022738	0.317387817802232	5.7662422675837	8.10585147275979e-09	5.00536328442917e-07	98	0.238593166328507	NZ_CP069563.1	rpsT	30S ribosomal protein S20	B. fragilis	CRC vs Healthy
C7Y58_RS02970	3.69340777255249	3.73173708389607	0.64796435087761	5.759170359977	8.45283587615459e-09	5.06145566402469e-07	49	0.0664076407276163	NZ_CP028101.1	ftsH	ATP-dependent zinc metalloprotease FtsH	F. nucleatum	CRC vs Healthy
C7Y58_RS00195	2.66054941087409	4.76813932127798	0.831635567266944	5.73344804978438	9.8409217560647e-09	5.5559032542811e-07	35	0.0406577392209896	NZ_CP028101.1		electron transfer flavoprotein subunit beta/FixA family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS04710	8.73725091723415	2.96241139553284	0.51629937499128	5.73777838794183	9.5926520838143e-09	5.5559032542811e-07	69	0.0992455414384356	NZ_CP028101.1	rpsI	30S ribosomal protein S9	F. nucleatum	CRC vs Healthy
C7Y58_RS01655	9.50133501347693	2.62784810528012	0.460430226199546	5.70737531063225	1.14731611769844e-08	6.2974906904781e-07	84	0.166710283385798	NZ_CP028101.1	dnaK	molecular chaperone DnaK	F. nucleatum	CRC vs Healthy
C7Y58_RS02920	5.44914311507628	4.15143440506652	0.732259769752904	5.66934655780338	1.43343160657753e-08	7.65529960701944e-07	51	0.0308592240687311	NZ_CP028101.1		tyrosine phenol-lyase	F. nucleatum	CRC vs Healthy
C7Y58_RS08720	4.35088056744263	4.57288778630809	0.808107210019992	5.65876375016498	1.5246726467493e-08	7.92829776309638e-07	42	0.0876174280212326	NZ_CP028101.1		pyridoxamine 5'-phosphate oxidase family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS04375	13.6665811838075	2.9968730739298	0.531712577094662	5.63626516097297	1.73777737543408e-08	8.80473870219934e-07	77	0.179517471240409	NZ_CP028101.1	pflB	formate C-acetyltransferase	F. nucleatum	CRC vs Healthy
C7Y58_RS01175	4.28164963048001	4.075435065966	0.724967766486759	5.62153967991684	1.89263014261974e-08	9.12155405321122e-07	48	0.0812883732824985	NZ_CP028101.1		V-type ATP synthase subunit B	F. nucleatum	CRC vs Healthy
C7Y58_RS01755	2.80271578655684	4.73831823243312	0.842678139021168	5.62292767905078	1.87748016108438e-08	9.12155405321122e-07	34	0.0833890231422496	NZ_CP028101.1	trxA	thioredoxin	F. nucleatum	CRC vs Healthy
C7Y58_RS09280	4.50942918219766	5.19158999345955	0.929154166445303	5.58743659657815	2.30445851165971e-08	1.08419286167609e-06	33	0.0745662937312949	NZ_CP028101.1		iron transporter	F. nucleatum	CRC vs Healthy
C7Y58_RS05565	4.15580835573863	5.05513460806679	0.907349602756226	5.57131958035908	2.52817088060172e-08	1.16178271164395e-06	32	0.140729988023585	NZ_CP028101.1		autotransporter outer membrane beta-barrel domain-containing protein	F. nucleatum	CRC vs Healthy
I6J55_RS17925	5.56554255755085	4.15602684060125	0.747857705271074	5.55724279005031	2.74069416609887e-08	1.23082083459349e-06	50	0.0408339227576139	NZ_CP069563.1		SusC/RagA family TonB-linked outer membrane protein	B. fragilis	CRC vs Healthy
C7Y58_RS02670	15.4530186852548	2.65899245465807	0.483054867892327	5.5045350567728	3.7014380531018e-08	1.62534257620648e-06	81	0.180967597272625	NZ_CP028101.1	rplA	50S ribosomal protein L1	F. nucleatum	CRC vs Healthy
C7Y58_RS00295	2.44057466678701	4.17573490907247	0.765069057107644	5.45798430910133	4.8157020285816e-08	2.02464408691005e-06	38	0.0512151988387066	NZ_CP028101.1		autotransporter-associated N-terminal domain-containing protein	F. nucleatum	CRC vs Healthy
C7Y58_RS03360	4.19793128939054	4.4826935205317	0.821195589373386	5.45874037627531	4.79524338846587e-08	2.02464408691005e-06	38	0.059902402452258	NZ_CP028101.1		DUF3798 domain-containing protein	F. nucleatum	CRC vs Healthy
I6J55_RS02480	5.08730093315781	2.24172128620862	0.412247636049458	5.43780264622228	5.39416746093163e-08	2.22059893808352e-06	78	0.0789031192482005	NZ_CP069563.1	lon	endopeptidase La	B. fragilis	CRC vs Healthy
