Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS00620	6.47090855229675	2.35925901228295	0.419479820276427	5.62424912532922	1.86316605968538e-08	2.13332513833976e-05	78	0.11504784941566	NZ_CP028101.1	rpsB	30S ribosomal protein S2	F. nucleatum	CRC vs Paired
C7Y58_RS02690	10.8009301934123	2.15700475644317	0.422977197507428	5.09957692555114	3.40413502665433e-07	0.000194886730275961	92	0.188909409000458	NZ_CP028101.1	rpoC	DNA-directed RNA polymerase subunit beta'	F. nucleatum	CRC vs Paired
C7Y58_RS00305	37.5938349632015	2.08996165416877	0.416419197066192	5.01888882379398	5.19712144927423e-07	0.000198356801980633	101	0.574751354207649	NZ_CP028101.1	fusA	elongation factor G	F. nucleatum	CRC vs Paired
C7Y58_RS04100	5.9402213247656	3.45607343830327	0.714981540050717	4.83379394390814	1.33955242504883e-06	0.000306757505336183	47	0.0933637218311324	NZ_CP028101.1		acyl-CoA carboxylase subunit beta	F. nucleatum	CRC vs Paired
C7Y58_RS04710	8.73725091723415	2.50888004303673	0.51834546507151	4.84016975568719	1.29728266859237e-06	0.000306757505336183	69	0.0992455414384356	NZ_CP028101.1	rpsI	30S ribosomal protein S9	F. nucleatum	CRC vs Paired
C7Y58_RS05565	4.15580835573863	4.19930946391327	0.90288743611629	4.65097784722348	3.30364818690464e-06	0.000540382453429401	32	0.140729988023585	NZ_CP028101.1		autotransporter outer membrane beta-barrel domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS10235	3.81115392002428	3.32245421871418	0.713238226525105	4.65826717519219	3.18882184091457e-06	0.000540382453429401	42	0.049385600573762	NZ_CP028101.1	fap2	galactose-inhibitable autotransporter adhesin Fap2	F. nucleatum	CRC vs Paired
C7Y58_RS03545	34.3995362457676	2.80859720022955	0.614852416631678	4.56792089330277	4.92585856749217e-06	0.000705013507472317	71	0.614745017021363	NZ_CP028101.1	fomA	major outer membrane protein FomA	F. nucleatum	CRC vs Paired
C7Y58_RS08880	34.5533918038987	2.06701583611672	0.455095451856372	4.54193911999163	5.57391394115439e-06	0.000709125718069086	98	0.502556761930912	NZ_CP028101.1	nifJ	pyruvate:ferredoxin (flavodoxin) oxidoreductase	F. nucleatum	CRC vs Paired
C7Y58_RS00140	3.67016809469278	3.75808394159857	0.843305462416609	4.4563732942382	8.335783099662e-06	0.000762782655744911	35	0.079418117278333	NZ_CP028101.1		ABC transporter substrate-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS02250	1.88100005543066	2.53402622266782	0.571727908962969	4.43222411035377	9.3266001575797e-06	0.000762782655744911	47	0.0359007837321338	NZ_CP028101.1	gyrA	DNA gyrase subunit A	F. nucleatum	CRC vs Paired
