gene_id	gene	product
I6J55_RS00010		Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain
I6J55_RS00015		glycosyltransferase family 4 protein
I6J55_RS00020		serine acetyltransferase
I6J55_RS00025		acyltransferase family protein
I6J55_RS00030		glycosyltransferase
I6J55_RS00035		EpsG family protein
I6J55_RS00040		glycosyltransferase
I6J55_RS00045		serine acetyltransferase
I6J55_RS00050		glycosyltransferase family 2 protein
I6J55_RS00055		glycosyltransferase family 2 protein
I6J55_RS00060		glycosyltransferase family 2 protein
I6J55_RS00065		polysaccharide pyruvyl transferase family protein
I6J55_RS00070		Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain
I6J55_RS00075		acyltransferase family protein
I6J55_RS00080		MATE family efflux transporter
I6J55_RS00085		UpxY family transcription antiterminator
I6J55_RS00090		hypothetical protein
I6J55_RS00095		DUF3987 domain-containing protein
I6J55_RS00100		DUF4248 domain-containing protein
I6J55_RS00105		HU family DNA-binding protein
I6J55_RS00110		N-acetylmuramoyl-L-alanine amidase
I6J55_RS00115		GumC family protein
I6J55_RS00120		polysaccharide biosynthesis/export family protein
I6J55_RS00125		undecaprenyl-phosphate glucose phosphotransferase
I6J55_RS00130		Tsr19 family tyrosine-type DNA invertase
I6J55_RS00135	mpi	serine-type multi-promoter DNA invertase Mpi
I6J55_RS00140		HdeD family acid-resistance protein
I6J55_RS00145	tpx	thiol peroxidase
I6J55_RS00150		DUF4840 domain-containing protein
I6J55_RS00155		DedA family protein
I6J55_RS00160		tetratricopeptide repeat protein
I6J55_RS00165		glutamine--tRNA ligase/YqeY domain fusion protein
I6J55_RS00170		PstS family phosphate ABC transporter substrate-binding protein
I6J55_RS00175	pstC	phosphate ABC transporter permease subunit PstC
I6J55_RS00180	pstA	phosphate ABC transporter permease PstA
I6J55_RS00185	pstB	phosphate ABC transporter ATP-binding protein PstB
I6J55_RS00190	phoU	phosphate signaling complex protein PhoU
I6J55_RS00195		riboflavin synthase
I6J55_RS00200		nitroreductase family protein
I6J55_RS00205		YihY/virulence factor BrkB family protein
I6J55_RS00210	rnpB	
I6J55_RS00215		C40 family peptidase
I6J55_RS00220		dipeptide epimerase
I6J55_RS00225		transglutaminase-like domain-containing protein
I6J55_RS00230		trypsin-like peptidase domain-containing protein
